job_names,company_names,salaries,position_names,kind_jobs,array_skills,locate_names,exp_skills,domain_arr,post_dates_formatted
"Senior Full Stack Engineer (Python, React)",DataXight,"2,000 - 2,500 USD",Fullstack Developer,At office,"['Python', 'Database', 'English', 'Microservices', 'AWS', 'ReactJS']","XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh","Must-Have Qualifications
Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field.
5+ years of full-stack development experience, with expertise in Python (or equivalent backend languages).
Strong experience with backend development, including API design, data modeling, and cloud-based architectures.
Hands-on experience with relational databases like PostgreSQL, MySQL, and familiarity with NoSQL solutions.
Proficiency in cloud services (e.g., AWS, GCP, Azure) for deploying and managing scalable applications.
Familiarity with healthcare data formats and standards (e.g., FHIR, HL7, DICOM).
Strong understanding of ORM, RESTful APIs, authentication, and security best practices.
Experience working in UNIX/Linux environments and proficiency with Git for version control.
Strong problem-solving skills and ability to collaborate with diverse teams.
 Preferred, But Not Required
Experience with containerization and orchestration (e.g., Docker, Kubernetes).
Understanding of event-driven architectures and real-time data processing.
Experience with agile methodologies and tools like Jira, Confluence.
Exposure to biomedical informatics, clinical research workflows, or precision medicine applications.
Ability to work on-site in District 2, Ho Chi Minh City, Vietnam

 ","['Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']",24/11/2025 16:37
Senior/Lead Quality Engineer (Automation),DataXight,"2,500 - 3,600 USD",Software Engineer in Test (SDET),At office,"['Automation Test', 'English', 'Unit test', 'Docker', 'AWS', 'Python']","XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh","5+ years of experience in software quality engineering or test automation.
Strong programming skills in Python (or similar).
Expertise in test automation frameworks and CI/CD integration.
Solid understanding of AWS, Azure, or other cloud environments.
Comfortable working with Unix-based systems, containers (Docker), and data workflows.
Strong analytical and problem-solving skills, with attention to detail.
Excellent communication and collaboration skills in English.
 Nice to Have
Experience with data analytics or bioinformatics pipelines.
Knowledge of DevOps.
Experience with test data management and performance testing at scale.
Familiarity with containerization, GitHub Actions, and infrastructure-as-code workflows.
 Lifelong Skills
Quality Mindset: Balances pragmatism and perfection to deliver impact fast.
Technical Leadership: Shares expertise and guides teams toward better testing practices.
Adaptability: Thrives in fast-moving, cross-functional environments.
Curiosity: Continuously explores emerging tools and methods to improve automation.","['Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']",24/11/2025 16:37
Lead Software Engineer (Python),DataXight,"2,800 - 3,600 USD",Fullstack Developer,At office,"['Python', 'CI/CD', 'English', 'NoSQL', 'Microservices', 'AWS']","XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh","Must-Have Qualifications
Experience: At least 8 years of professional experience in Python development, with a focus on software integration. Experience in cloud computing and life sciences is highly desirable.
Education: Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
Technical Skills: 
Expertise in Python and its frameworks, in-depth understanding of cloud architecture, experience with Relational and NoSQL databases.
CICD Tools: Able to design/maintain pipelines.
Hand-ons experience with AWS Cloud Services.
Analytical and Problem-Solving Skills: Exceptional problem-solving abilities for complex integration issues.
Leadership, Communication, and Teamwork: Exemplary leadership, interpersonal, communication skills for effective cross-cultural and cross-time zone collaboration.
Language Proficiency: Professional Working Proficiency in English.
Project Management: Experience in Agile/Scrum methodologies with strong project management skills.
Flexible working time: Ability to work with US and Czech Republic timezones sometimes as needed.
Nice-to-Have Qualifications
Hands-on experience with Golang or Node.js, particularly in building APIs or integrating with cloud-based services.
Understanding authentication/authorization (OAuth2 / SAML.)
We highly value experience in MLOps, ML infrastructure, and model training.
Lifelong Skills
Inquisitive Mindset: Demonstrates a deep-rooted curiosity, constantly seeking to understand project details and underlying principles, indicative of a continuous learning approach.
Clarity and Insight: Actively seeks clarity and understanding of project requirements to ensure accurate and effective implementation.
Depth of Perception: Has talent for looking beyond initial requests, intuitively grasping and addressing the core needs and objectives underlying a project.
Implementation Insight: Skilled in outlining and describing the phases of project implementation, breaking down complex tasks into manageable steps.
Articulate Communication: Exhibits strong verbal and written communication skills, adept at tailoring messages effectively for different audiences, ensuring that it is not only clear but also contextually relevant and empathetic.","['Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']",24/11/2025 15:38
Middle/Staff Backend Engineer (Golang/Java),GHN,You'll love it,Backend Developer,At office,"['Golang', 'MongoDB', 'Java', 'NoSQL', 'PostgreSql']","3rd Floor, Rivera Park Building, 7/28 Thanh Thai, District 10, Ho Chi Minh","Senior/Staff Software Engineer:
Requirement:
Bachelor’s Degree in Information Technology, Computer Science, or a related field.
4+ years of professional experience in backend or system-level software development.
Proficient in Golang or Java, with a strong understanding of concurrency, performance optimization, and the respective ecosystems.
Strong skills in system design and architecture, capable of building fault-tolerant, scalable, and modular backend systems.
Hands-on experience with distributed systems and microservices, including event-driven architecture, service decoupling, and API design (HTTP, gRPC).
In-depth knowledge of relational databases (MySQL, PostgreSQL) and NoSQL databases (MongoDB, etc.), with expertise in schema design, indexing, and query optimization.
Familiarity with distributed system components, such as:
Caching (Redis or similar)
Distributed locking (Zookeeper, etcd)
Event streaming (Kafka or similar)
Strong understanding of debugging, monitoring, and tracing tools (e.g., Jaeger, OpenTelemetry).
Committed to writing testable, maintainable code with solid experience in unit and integration testing.
Solid foundation in data structures, algorithms, networking, operating systems, and system security.
Excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams.
Self-motivated, detail-oriented, and able to take ownership of projects end-to-end.
Comfortable using AI tools (e.g., GitHub Copilot, ChatGPT, Tabnine) to support coding, documentation, testing, and productivity improvements.
Nice To have
Experience with Docker and Kubernetes for containerization and orchestration.
Familiarity with Google Cloud Platform (GCP) and cloud-native architectures.
Experience in technical leadership, architecture reviews, or contributing to cross-team design initiatives.
Backend Developer:
Requirement:
Bachelor’s Degree in Information Technology, Computer Science, or a related field.
3+ years of professional experience in backend or system-level software development.
Proficient in Golang or Java, with a strong understanding of concurrency
Hands-on experience with microservices and API design (HTTP, gRPC).
3 years of experience of relational databases (MySQL, PostgreSQL).
Knowledge in NoSQL databases (MongoDB, etc.), with expertise in schema design, indexing, and query optimization is a big plus
Min 1 year of experience with distributed system components:
Caching (Redis or similar) and
Event streaming (Kafka or similar)
Strong understanding of debugging, monitoring, and tracing tools (e.g., Jaeger, OpenTelemetry).
Committed to writing testable, maintainable code with solid experience in unit and integration testing.
Solid foundation in data structures, algorithms, networking, operating systems, and system security.
Excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams.
Self-motivated, detail-oriented, and able to take ownership of projects end-to-end.
Comfortable using AI tools (e.g., GitHub Copilot, ChatGPT, Tabnine) to support coding, documentation, testing, and productivity improvements.
Nice To have
Experience with Docker and Kubernetes for containerization and orchestration.
Familiarity with Google Cloud Platform (GCP) and cloud-native architectures.
Experience in technical leadership, architecture reviews, or contributing to cross-team design initiatives.","['E-commerce', 'Transportation, Logistics and Warehouse']",24/11/2025 15:38
"SRE/ DevOps Engineer (Kubernetes, Docker, CI/CD, Cloud)",Smartoshi Technology,You'll love it,DevOps Engineer,At office,"['DevOps', 'Cloud', 'CI/CD', 'Kubernetes', 'Terraform', 'Docker']","WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh","Must-Have Technical Skills 

1. Proxy & Network Protocols 
- Deep understanding of VLESS, Trojan, VMess protocols, including configuration, optimization, and real-world troubleshooting (experience with Xray/Sing-box is highly preferred). 
- Strong knowledge of the TCP/IP stack, including TCP congestion control (BBR), MTU tuning, routing tables, and firewall configuration (iptables/nftables). 
- Proficient in TLS/SSL certificate management, automated renewal, configuration, and traffic obfuscation mechanisms (Reality / XTLS). 
- Skilled in network diagnostics and packet analysis using tools such as tcpdump, mtr, netstat, etc. 

2. Automation & Infrastructure 
- Proficient in at least one configuration-management tool (e.g., Ansible) for large-scale node deployment and maintenance. 
- Strong experience with Linux systems (Ubuntu / CentOS / Debian) and excellent Shell scripting skills. 
- Familiar with container technologies (Docker / Docker Compose) and virtualization environments. 

Nice to have: 
- Experience with Terraform, Cloud-init, or other Infrastructure-as-Code (IaC) tools. 

3. Monitoring & Security 
- Hands-on experience in building and maintaining Prometheus + Grafana monitoring and alerting systems, including writing custom metrics. 
- Practical experience in DDoS/CC attack mitigation, with knowledge of high-protection services (Cloudflare Magic Transit, Alibaba Cloud Anti-DDoS, etc.). 
- Familiarity with Linux security hardening, permission management, and auditing procedures. 

Qualifications & Soft Skills 
- Educational background in Computer Science, Network Engineering, or related fields preferred. 
- 2–4 years of experience in SRE / DevOps roles within internet or network-service companies. 
- Strong sense of responsibility for system high availability; capable of making quick decisions and resolving issues under pressure.
- Ability to work independently, handle complex operational tasks, and continuously explore and learn new technologies.
- Must be willing and able to participate in 24/7 on-call rotation, responding promptly to emergencies.",['Software Products and Web Services'],24/11/2025 15:38
Go Core Network Optimization Engineer (Golang/ Docker),Smartoshi Technology,You'll love it,Systems Engineer / Administrator,At office,"['Golang', 'Embedded', 'Docker', 'Software Architecture']","WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh","3+ years of experience in Go and extensive experience in high-performance network programming.
Profound and systemic understanding of the Computer Network Protocol Stack (from link layer to application layer), including the ability to design, implement, and test network protocols from scratch.
Deep knowledge of TCP/UDP, QUIC, TLS/SSL, and AEAD.
In-depth understanding of the principles, traffic characteristics, and routing logic of major proxy protocols (VLESS/Reality, Trojan, Shadowsocks).
Familiarity with network control mechanisms such as routing, firewalls (e.g., iptables/nftables), traffic control, and NAT traversal.
Experience reading, modifying, and optimizing Go network core projects (e.g., V2Ray, Xray, Sing-box).
Strong understanding of Go’s memory model, GC tuning, and concurrency safety.
Nice to Have
Experience with FFI integration, kernel-level network development, or published work on network protocols",['Software Products and Web Services'],24/11/2025 15:38
"Desktop Engineer-1 Windows & 1 macOS (C language, .Net)",Smartoshi Technology,You'll love it,Software/Technical Architect,At office,"['Flutter', 'macOS', 'C language', 'Windows', 'Swift', '.NET']","WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh","Familiar with Flutter Desktop or native development
Windows: WinUI / .NET
macOS: AppKit / Swift
Understanding of system proxy, certificates, app signing, and update mechanisms
Experience in cross-platform plugin development or FFI integration
Nice to Have
Experience integrating automatic updates (Sparkle, Squirrel, MSIX, etc.)
Understanding of enterprise distribution, signing, or MDM",['Software Products and Web Services'],24/11/2025 15:38
"REMOTE - C++ Dev ( Networking, Software Architecture )",Smartoshi Technology,"Up to $3,500",Backend Developer,At office,"['C++', 'Linux', 'API', 'Software Architecture', 'Networking']","WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh","At least 2 years of experience in C++ software development, preferably in financial systems, trading platforms, or other low-latency environments
Strong proficiency in C++ (C++11/14/17) with solid understanding of STL containers and data structures
Good knowledge of multithreading, synchronization, and concurrency control (mutex, atomic, condition variable, etc.)
Familiarity with Linux development environments and performance profiling tools
Experience with network programming and real-time data processing is a strong plus
Nice to Have
Understanding of order book mechanics, market making, and exchange matching logic
Experience with Python for backtesting, scripting, or data analysis
Knowledge of quantitative trading strategies or market microstructure is a plus",['Software Products and Web Services'],24/11/2025 15:38
"Technical Lead / System Architect (Flutter, Rust/Go)",Smartoshi Technology,"Up to $5,000",Software/Technical Architect,At office,"['System Architecture', 'Golang', 'Encryption Key Management']","WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh","8+ years of experience in internet infrastructure or network product development
Proficient in TCP/IP, TLS/QUIC, asynchronous IO, KMS/PKI, and related communication/security protocols
Experienced with Flutter cross-platform architecture, hands-on Rust/Go development
Background in building cross-platform SDKs, VPNs, game accelerators, CDNs, or privacy products
Strong team management and project delivery skills
Nice to Have
Led multi-platform SDK or network protocol kernel projects
Experience in edge computing, distributed systems, or hybrid cloud",['Software Products and Web Services'],24/11/2025 15:38
Deputy ITBP Manager (Deputy SAP Operation),Wilmar CLV (Cambodia Laos Vietnam),You'll love it,Manager,At office,"['Team Management', 'Business Analysis', 'Leadership', 'ERP', 'SAP']","235 Nguyễn Văn Cừ, District 1, Ho Chi Minh","Professional Requirements
Experience in operating and maintaining HR projects, SAP or ERP systems.
Competence in managing mini-projects and conducting business analysis.
Skills in coordinating system upgrades and maintenance activities.
Strong presentation and reporting skills in English.
Knowledge of HR such as salary, timesheets are a plus 
Soft Skills
Proficient problem-solving and analytical thinking abilities.
Capability to support, train, and share knowledge with team members.
Effective communication, presentation, and stakeholder coordination skills.
Other Requirements
Ability to organize scientific work with good prioritization and systematic arrangement.
Strong team spirit, proactive collaboration, and frequent information sharing.","['E-commerce', 'Retail and Wholesale']",24/11/2025 15:38
