job_names,company_names,salaries,position_names,kind_jobs,array_skills,locate_names,exp_skills,domain_arr,post_dates_formatted
Senior Cloud Engineer (AWS),Techcom Securities,"1,000 - 2,000 USD",Cloud Engineer,At office,"['Cloud', 'Linux', 'System Admin', 'DevOps', 'Solution Architecture', 'AWS']","C5 Building Tower, D’Capitale Tower, 119 Tran Duy Hung, Cau Giay, Ha Noi","3+ years of hands-on experience managing AWS cloud environments in production.
Strong understanding of AWS core services: EC2, VPC, S3, RDS, IAM, EKS, CloudWatch, and Route53.
Experience operating EKS clusters and Kubernetes workloads, including deployment, scaling, and troubleshooting.
Proficiency in at least one programming or scripting language (e.g., Python, Go, or Bash).
Experience with Infrastructure as Code tools such as Terraform, CloudFormation, or AWS CDK.
Familiarity with configuration management tools (e.g., Ansible, Chef).
Solid knowledge of Linux system administration and shell scripting.
Experience working in multi-account AWS environments using AWS Organizations, Control Tower, or custom account management setups.
Good understanding of cloud networking concepts, including VPC, subnets, route tables, and security groups.
Strong problem-solving mindset and ability to work independently with high ownership and accountability.
Excellent communication and documentation skills in English.
Nice to Have
AWS certification (e.g., AWS Certified Solutions Architect – Associate/Professional, DevOps Engineer, or SysOps Administrator).
Experience with monitoring and observability tools (Prometheus, Grafana, CloudWatch, OpenTelemetry).
Knowledge of CI/CD systems (e.g., GitHub Actions, Jenkins, GitLab CI).
Exposure to cost optimization, tagging strategies, or FinOps practices.","['Banking', 'Securities & Investment', 'Financial Services']",25/11/2025 11:13
Mid - Senior - Lead VueJS AngularJS Developer,Hitachi Digital Services,Negotiate by capabilities,Frontend Developer,At office,"['VueJS', 'Cloud', 'AWS', 'Angular', 'AngularJS', 'English']","Helios Bldg + QTSC9, Quang Trung Software City, Tan Chanh Hiep Ward, District 12, Ho Chi Minh","At least 3+ years of experience as Front end / full-stack web application development or similar roles.
Advanced skills in HTML5, CSS3, JavaScript (ES6+), and frameworks like VueJS (* important), AngularJS , ReactJS  front-end frameworks
Proficiency at one of backend languages ( Java, Go, Typescript, Node…)
Good English communication skill is a huge plus.
Database :
Familiarity with databases (SQL, MySQL, PostgreSQL, Oracle , NoSQL (MongoDB))
Understanding of data modeling, query optimization, and backend data flow.
 Cloud and DevOps: (Optional)
Experience with CI/CD pipelines using Jenkins, GitHub Actions, or GitLab CI.
Familiarity with Docker, Kubernetes, and cloud platforms (AWS, Azure, GCP).
Problem-Solving & Architecture:
Strong analytical mindset with attention to clean, maintainable code.
Experience contributing to frontend architecture and scalable design patterns.
Leadership (optional) & Communication:
Excellent collaboration skills across cross-functional teams.
Proven ability to mentor junior developers and present technical concepts to stakeholders.","['E-commerce', 'Banking', 'IT Services and IT Consulting', 'Healthcare', 'AI Software & Services']",25/11/2025 11:13
Automation Testing Supervisor,Datalogic Việt Nam,You'll love it,Automation Tester,Hybrid (flexible between home and office),"['Team Management', 'TestComplete', 'Robot Framework', 'Leadership', 'Automation Test', 'Android']","Datalogic Vietnam LLC. F04, Lot I-4A, Saigon High Tech Park, Long Thanh My Ward, Thu Duc, Ho Chi Minh","TECHNICAL SKILLS:
Proven experience in software testing, with a focus on automatic identification products.
Proven Experience on testing Android products such as Smartphone, Tablets, POS, and Mobile products in general.
Strong knowledge of testing methodologies, tools such as Jazz, Robot Framework, Test Complete, and best practices.
Experience in test automation and scripting languages.
Familiarity with agile development methodologies and continuous integration practices.
Strong analytical and problem-solving skills. 
Prior experience in managing complex projects from conception to delivery
SOFT SKILLS:
Strong leadership skills with the ability to motivate and guide a technical team.
Excellent communication skills and the ability to work collaboratively in a cross-functional environment.
Eager of new technologies and innovation
Planning and time management
REQUIREMENTS:
Education: Telecommunication Engineering, Computers Science and Electronic, or related major
Language: English (good command in both speaking, writing, reading, listening)
YoE: 8+ years of experience in Testing SW
Nice to have: ISTQB Foundation certificates, Agile  Foundation certificates, API Testing specialist certificates","['IT Hardware and Computing', 'Software Products and Web Services']",25/11/2025 11:13
"Senior Full Stack Engineer (Java, React, TypeScript)",CoderPush,"2,500 - 3,500 USD",Fullstack Developer,At office,"['Java', 'English', 'Spring', 'AWS', 'ReactJS', 'TypeScript']","XYZ Building, 236/43/2 Dien Bien Phu Street, Gia Dinh Ward, Binh Thanh, Ho Chi Minh","Requirements (Must-Have)
5+ years of experience working on complex or large-scale software projects.
Bachelor’s degree in Computer Science, Software Engineering, or similar — or equivalent hands-on experience.
Strong backend development skills in Java (Spring Boot, Quarkus).
Proficiency with React and TypeScript.
Hands-on experience with PostgreSQL.
Practical experience with Kafka or other messaging/event-driven systems.
Ability to design and consume RESTful APIs.
Familiarity with Git and CI/CD workflows.
Strong analytical and problem-solving skills with a proactive mindset.
Good communication skills and the ability to collaborate in a product-driven environment.
Nice to Have
Experience designing microservices or distributed systems.
Hands-on experience with public cloud platforms (AWS, GCP, Azure).
Knowledge of container orchestration (Kubernetes).
Experience with automated testing tools (JUnit, Jest, Cypress, etc.).
Exposure to Agile/Scrum processes.
Note: This is fully on-site role
Location: Hoa Hung ward, HCMC
Working model: At Office","['Software Products and Web Services', 'Financial Services', 'AI Software & Services']",25/11/2025 11:13
"[Hybrid] Senior Fullstack Engineer (VueJS, .NET)",Facilitated Work Hub,"2,000 - 3,000 USD",Fullstack Developer,Hybrid (flexible between home and office),"['.NET', 'VueJS', 'C#', 'Azure', 'Agile', 'English']","Ha Phan building, 17-19 Ton That Tung, Pham Ngu Lao Ward, District 1, Ho Chi Minh","Essential:
4 yrs + work exp. in software development
Proven record with VueJS, .NET (C#/ ASP. Core, Git/ GitHub Flow)
Good communication skills in English to talk and collaborate directly with colleagues in Norway
Azure Environments (Cloud & DevOps)
Agile product development mindset
Prompt engineering basics / DevOps tools
Strong interest for AI both as a programming tool and AI as part of the product.
Would be nice if you also have experience in:
Electron, Flutter and AngularJS
Have the experiences to work with e-commerce 
Proactive mindset
CI/CD Automation with AI (tests, code review, pipelines)
Automated Test Generation (unit, integration) w/ LLMs
Create good user experiences in web applications and strong interest in software engineering methods, design patterns and modelling
Personalities:
High integrity and confidentiality and genuine commitment to excellence",['Software Products and Web Services'],25/11/2025 11:13
"Senior QA Automation Engineer (Playwright, Java)",Motorola Solutions,You'll love it,Automation Tester,At office,"['Automation Test', 'Python', 'Java', 'Selenium', 'Playwright']","L07.01, Tầng 07, Tháp A, Khu thương mại dịch vụ kết hợp nhà ở cao tầng tại lô đất 1-13, thuộc khu chức năng số 1 – Số 15, đường Trần Bạch Đằng, Phường Thủ Thiêm, Thu Duc City, Ho Chi Minh","Bachelor’s degree in Information Technology, Computer Science, or a related field.
3–5 years of experience in software QA, including at least 2 years in automation testing.
Hands-on experience in release coordination, version control, and deployment pipelines.
Proficient in automation tools such as Playwright, Selenium, Cypress, Appium or similar.
Experience with API testing (e.g., Postman, RestAssured).
Familiar with CI/CD tools (e.g., Jenkins, GitLab CI, GitHub Actions).
Good understanding of Agile development processes and release cycles.
Strong troubleshooting, communication, and organizational skills.
Ability to work independently and as part of a team.
Proficiency in reading, understanding, and generating complex technical documentation in English.",['Telecommunication'],25/11/2025 11:13
"DevOps Cloud Engineer (GCP, Kubernetes, Azure)",Motorola Solutions,You'll love it,DevOps Engineer,At office,"['DevOps', 'Ansible', 'Azure', 'CI/CD', 'Kubernetes']","L07.01, Tầng 07, Tháp A, Khu thương mại dịch vụ kết hợp nhà ở cao tầng tại lô đất 1-13, thuộc khu chức năng số 1 – Số 15, đường Trần Bạch Đằng, Phường Thủ Thiêm, Thu Duc City, Ho Chi Minh","4- 8 years of experience in software development, DevOps, or Cloud Engineering.
Hands-on experience designing and deploying cloud-native solutions.
Proficient with Kubernetes, Docker, and container management tools.
Experience with IaC tools like Terraform, CloudFormation, or Ansible.
Strong command of CI/CD tools such as Jenkins, GitLab CI, or GitHub Actions.
Solid knowledge of microservices and serverless architectures.
Good programming skills in at least one language such as Go, Python, Java, or Node.js.
Understanding of core services on a cloud platform (AWS, Azure, or GCP).
Databases: Familiarity with various database types (SQL, NoSQL) in a cloud context.
Networking: Understanding of cloud networking, VPNs, load balancing.
Operating Systems: Linux system administration.
Strong problem-solving and analytical skills.
Ability to work independently and collaborate effectively in a team-based environment.
A continuous learning mindset and willingness to embrace new technologies.
Ability to communicate in English language",['Telecommunication'],25/11/2025 11:13
SAP Senior Consultant - SAP SD MM Implementation,Deloitte Consulting Vietnam,You'll love it,ERP Developer,At office,"['SAP', 'ERP', 'Business Analysis', 'Project Management', 'Software Architecture', 'English']","Times Square Building, 57-59 Dong Khoi , District 1, Ho Chi Minh","Job requirements
Requirements:
 • A good honors Degree, preferably at postgraduate level, in Information Technology, Business Information Systems, Business, Engineering, Mathematics or related disciplines.
• Good understanding of SAP implementation methodology.
• Senior Consultant will require a minimum of 6-8 years of experience in SAP SD (Sales and Distribution)  or MM module, preferably with done 4-6 end to end full life cycle project focused on implementations with team leading experience.
• Prefer industries: Manufacturing, Consumer, Food, Retails or any.
• SAP S/4 HANA experience is an advantage
• Demonstrated success in multi-cultural work environment.
• Sound understanding of business process, industry nuances and leading practices in area of focus
• Good communication and presentation skills in English to build relationship and work closely with client stakeholders
• Ability to facilitate effective workshops to lead target state design.
• Demonstrated excellence in conceiving and executing SAP solution
• Sound business acumen, teamwork and leadership qualities.
• Willingness to work outside of office base and most of all
• An appreciation of the consulting lifestyle and ability to travel (both locally and abroad) is a prerequisite to fit to our short-term and long-term project assignment.
  Due to volume of applications, we regret that only shortlisted candidates will be notified.
 Please note that Deloitte will never reach out to you directly via messaging platforms to offer you employment opportunities or request for money or your personal information. Kindly apply for roles that you are interested in via this official Deloitte website.","['IT Hardware and Computing', 'IT Services and IT Consulting', 'Software Products and Web Services', 'Professional Services', 'Financial Services']",25/11/2025 11:13
Firmware Developer,Motorola Solutions,You'll love it,Firmware Engineer,At office,"['Embedded', 'Embedded C', 'Linux']","L07.01, Tầng 07, Tháp A, Khu thương mại dịch vụ kết hợp nhà ở cao tầng tại lô đất 1-13, thuộc khu chức năng số 1 – Số 15, đường Trần Bạch Đằng, Phường Thủ Thiêm, Thu Duc City, Ho Chi Minh","Graduated from a university specializing in Information Technology, with 1 to 5 years of relevant experience in C/C++ and Linux application development
Proficient in C/C++ programming languages
Experience or knowledge in developing applications for edge devices and Linux-based systems
Familiar with image and video processing libraries such as OpenCV, FFmpeg, and GStreamer
Experience or knowledge in deploying neural network models on hardware platforms such as NVIDIA or Ambarella chips
Good listening and speaking skills in English
Detail-oriented, hardworking, and capable of working under high pressure",['Telecommunication'],25/11/2025 11:13
Senior Product Owner,Droppii,"1,800 - 2,500 USD",Product Owner,Hybrid (flexible between home and office),"['Agile', 'Six sigma', 'Lean Project Management', 'Data Analysis']","39A Ta Hien street, Quarter 1, Thanh My Loi Ward, District 2, Thu Duc City, Ho Chi Minh","What We’re Looking For
Bachelor’s degree in Business, IT, Marketing, or related fields
4 –7 years of Product Owner / Product Management experience.
Experience delivering products across MVP → Growth → Scale stages.
Strong analytical foundation (GA4, SQL, or equivalent).
Experience facilitating research, customer interviews, usability testing, or insight synthesis.
Strong communication and alignment skills with cross-functional stakeholders.
Familiarity with Agile at scale: Scrum, dual-track, or continuous discovery.
Bonus Points
Experience in e-commerce, fintech, SaaS, or marketplace environments.
Background in AI products, conversational interface, or recommendation systems.
Experience with experimentation frameworks (feature flags, rollout systems, or optimization loops).",['E-commerce'],25/11/2025 10:13
