job_names,job_group,level,salary,work_mode,domain_list,domain_group,skills_list,languages,tools,frameworks,libraries,programming_languages,others,company_names,city,post_date
Embedded Engineer,Embedded / Firmware,intern,Unknown,At office,"['Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['Embedded', 'English', 'Linux', 'Software Architecture']",['English'],,,,,"['Embedded', 'Linux', 'Software Architecture']",Bosch Global Software Technologies Company Limited,Ho Chi Minh,2025-11-23
Database Administrator,Data / AI,junior,Unknown,At office,['Telecommunication'],['Telecom'],"['Database', 'GraphQL', 'NoSQL', 'SQL', 'Hadoop', 'Spark']",,,,"['GraphQL', 'Spark']",['SQL'],"['Database', 'NoSQL', 'Hadoop']",Viettel Group,Ha Noi,2025-11-23
Manager,Manager / Lead,senior,Unknown,Remote,"['Software Development Outsourcing', 'Software Products and Web Services', 'Research Services', 'Professional Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech', 'Professional / Services']","['Python', 'Azure', 'NoSQL', 'AWS', 'DevOps', 'Software Architecture']",,"['Azure', 'AWS']",,,['Python'],"['NoSQL', 'DevOps', 'Software Architecture']",KeyTechX,Other,2025-11-23
Network Engineer,Other,intern,Up to $1500,At office,['Trading and Commercial'],['Ecommerce & Retail'],"['AWS', 'SQL', 'Python']",,['AWS'],,,"['SQL', 'Python']",,Viettel Group,Ha Noi,2025-11-23
Embedded Engineer,Embedded / Firmware,junior,Unknown,At office,"['Software Development Outsourcing', 'Software Products and Web Services']",['IT & Software'],"['Embedded', 'English', 'Project Management']",['English'],,,,,"['Embedded', 'Project Management']",Bosch Global Software Technologies Company Limited,Ho Chi Minh,2025-11-23
Solution Architect,Manager / Lead,senior,Unknown,At office,['IT Services and IT Consulting'],['IT & Software'],"['Solution Architecture', 'System Architecture', 'Cloud-native Architecture', 'Presale', 'Cloud', 'AWS']",,['AWS'],,,,"['Solution Architecture', 'System Architecture', 'Cloud-native Architecture', 'Presale', 'Cloud']",MEGAZONE,Ha Noi,2025-11-23
Data Engineer,Data / AI,senior,Unknown,At office,['IT Services and IT Consulting'],['IT & Software'],"['Data Engineer', 'Databricks', 'Data Warehousing', 'Big Data', 'Database', 'MLOps']",,['Databricks'],,,,"['Data Engineer', 'Data Warehousing', 'Big Data', 'Database', 'MLOps']",MEGAZONE,Ha Noi,2025-11-23
AI / Machine Learning Engineer,Data / AI,senior,Unknown,At office,"['Banking', 'Financial Services']",['Finance'],"['Computer Vision', 'TensorFlow', 'PyTorch', 'Machine Learning', 'AI', 'Team Management']",,,"['TensorFlow', 'PyTorch']",,,"['Computer Vision', 'Machine Learning', 'AI', 'Team Management']",MB Bank,Ha Noi,2025-11-23
Backend Developer,Backend Developer,senior,Unknown,At office,['AI Software & Services'],['AI / Emerging Tech'],"['Java', 'Redis', 'Microservices', 'Kafka', 'Spring Boot', 'Spring']",,"['Redis', 'Kafka']","['Spring Boot', 'Spring']",,['Java'],['Microservices'],One Mount Group,Ha Noi,2025-11-23
AI / Machine Learning Engineer,Data / AI,senior,Unknown,At office,"['Banking', 'Financial Services']",['Finance'],"['AI', 'TensorFlow', 'PyTorch', 'Microservices', 'C++', 'Python']",,,"['TensorFlow', 'PyTorch']",,"['C++', 'Python']","['AI', 'Microservices']",MB Bank,Ha Noi,2025-11-23
ERP Consultant,ERP / Enterprise Systems,senior,Up to $3000,At office,"['IT Services and IT Consulting', 'Transportation, Logistics and Warehouse']","['IT & Software', 'Logistics']","['SAP', 'English']",['English'],['SAP'],,,,,Viettel Group,Ha Noi,2025-11-23
IT Communicator,Other,Unknown,Up to $1000,Hybrid,['Software Development Outsourcing'],['IT & Software'],"['IT Communication/Translation', 'Japanese IT Communication']",,,,,,"['IT Communication/Translation', 'Japanese IT Communication']",Maruweb Viet Nam,Ho Chi Minh,2025-11-23
Bridge System Engineer (BrSE),Other,mid,Unknown,Hybrid,"['Banking', 'Manufacturing and Engineering', 'IT Services and IT Consulting', 'Software Development Outsourcing', 'AI Software & Services']","['Finance', 'IT & Software', 'AI / Emerging Tech', 'Engineering / Manufacturing']","['Japanese IT Communication', 'C++', '.NET', 'Java', 'OOP', 'English']",['English'],,['.NET'],,"['C++', 'Java']","['Japanese IT Communication', 'OOP']",Hitachi Digital Services,Ho Chi Minh,2025-11-23
Fullstack Developer,Fullstack Developer,mid,Unknown,At office,"['IT Hardware and Computing', 'Software Products and Web Services', 'Emerging Tech R&D']","['IT & Software', 'AI / Emerging Tech']","['Python', 'Cloud', 'Design Systems', 'API', 'Microservices', 'English']",['English'],['API'],,,['Python'],"['Cloud', 'Design Systems', 'Microservices']",Viettel Group,Ha Noi,2025-11-23
Backend Developer,Backend Developer,lead,Unknown,Hybrid,"['IT Services and IT Consulting', 'Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['Java', 'Spring Boot', 'Microservices', 'Cloud', 'Spring']",,,"['Spring Boot', 'Spring']",,['Java'],"['Microservices', 'Cloud']",NAB Innovation Centre Vietnam,Ho Chi Minh,2025-11-23
Fullstack Developer,Fullstack Developer,lead,Up to $1500,At office,"['E-commerce', 'Real Estate, Property and Construction', 'Telecommunication']","['Telecom', 'Ecommerce & Retail', 'Real Estate / Construction']","['JavaScript', 'MariaDB', 'PostgreSql', 'NoSQL', 'Oracle']",,"['MariaDB', 'PostgreSql', 'Oracle']",,,['JavaScript'],['NoSQL'],Viettel Group,Ha Noi,2025-11-23
Database Administrator,Data / AI,junior,Unknown,At office,"['IT Hardware and Computing', 'IT Services and IT Consulting', 'Emerging Tech R&D']","['IT & Software', 'AI / Emerging Tech']","['Database', 'MariaDB', 'Oracle', 'MySQL']",,"['MariaDB', 'Oracle', 'MySQL']",,,,['Database'],Viettel Group,Ha Noi,2025-11-23
DevOps Engineer,DevOps / Cloud,mid,Unknown,At office,"['IT Hardware and Computing', 'Network and Infrastructure', 'Software Products and Web Services']",['IT & Software'],"['DevOps', 'Jenkins', 'Terraform', 'Python', 'English']",['English'],"['Jenkins', 'Terraform']",,,['Python'],['DevOps'],Viettel Group,Ha Noi,2025-11-23
Project Manager,Manager / Lead,senior,Unknown,Hybrid,"['IT Hardware and Computing', 'IT Services and IT Consulting', 'Software Development Outsourcing', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['Japanese IT Communication', 'Japanese', 'Scrum', 'Agile', 'Project Management', 'English']","['Japanese', 'English']",,,,,"['Japanese IT Communication', 'Scrum', 'Agile', 'Project Management']",Hitachi Digital Services,Ho Chi Minh,2025-11-23
Systems Engineer / Administrator,Other,mid,Up to $2500,At office,['Telecommunication'],['Telecom'],"['Unix', 'Windows', 'DNS Security', 'VMware', 'Hyper-V', 'Python']",,"['VMware', 'Hyper-V']",,,['Python'],"['Unix', 'Windows', 'DNS Security']",Viettel Group,Ha Noi,2025-11-23
Cloud Engineer,DevOps / Cloud,junior,Unknown,At office,"['IT Hardware and Computing', 'Software Products and Web Services', 'Emerging Tech R&D']","['IT & Software', 'AI / Emerging Tech']","['Cloud', 'Kubernetes', 'OpenStack', 'VMware']",,"['Kubernetes', 'OpenStack', 'VMware']",,,,['Cloud'],Viettel Group,Ha Noi,2025-11-23
Database Engineer,Data / AI,senior,Unknown,At office,['Software Development Outsourcing'],['IT & Software'],"['Database', 'MongoDB', 'Azure', 'PostgreSql', 'MySQL', 'English']",['English'],"['MongoDB', 'Azure', 'PostgreSql', 'MySQL']",,,,['Database'],Oivan,Ho Chi Minh,2025-11-22
Data Analyst,Data / AI,intern,Unknown,At office,"['IT Hardware and Computing', 'Software Products and Web Services']",['IT & Software'],"['Data Analysis', 'System Admin', 'Database', 'IT Support', 'English']",['English'],,,,,"['Data Analysis', 'System Admin', 'Database', 'IT Support']",Renesas Design Vietnam,Ho Chi Minh,2025-11-22
Backend Developer,Backend Developer,mid,Up to $3200,At office,"['Banking', 'Financial Services']",['Finance'],"['Java', 'Spring Boot', 'Spring', 'SQL', 'English']",['English'],,"['Spring Boot', 'Spring']",,"['Java', 'SQL']",,"Rakuten Fintech Vietnam Co., Ltd.",Ho Chi Minh,2025-11-22
Fullstack Developer,Fullstack Developer,junior,Up to $2000,At office,"['IT Services and IT Consulting', 'Transportation, Logistics and Warehouse', 'Software Products and Web Services']","['IT & Software', 'Logistics']","['.NET', 'JavaScript', 'ASP.NET', 'AWS', 'Blazor', 'C#']",,['AWS'],"['.NET', 'ASP.NET', 'Blazor']",,"['JavaScript', 'C#']",,Kobo Asia,Ho Chi Minh,2025-11-22
Backend Developer,Backend Developer,Unknown,Up to $2500,At office,['Telecommunication'],['Telecom'],"['Java', 'Python', 'Cloud', 'MySQL']",,['MySQL'],,,"['Java', 'Python']",['Cloud'],Viettel Group,Ha Noi,2025-11-22
Software/Technical Architect,Manager / Lead,mid,Up to $2500,At office,"['IT Hardware and Computing', 'Network and Infrastructure', 'Software Products and Web Services', 'Emerging Tech R&D']","['IT & Software', 'AI / Emerging Tech']","['Software Architecture', 'DevOps', 'Cloud', 'Microservices', 'API', 'Design Systems']",,['API'],,,,"['Software Architecture', 'DevOps', 'Cloud', 'Microservices', 'Design Systems']",Viettel Group,Ha Noi,2025-11-22
Fullstack Developer,Fullstack Developer,mid,Up to $1200,At office,"['E-commerce', 'Real Estate, Property and Construction', 'Telecommunication']","['Telecom', 'Ecommerce & Retail', 'Real Estate / Construction']","['JavaScript', 'NoSQL', 'MariaDB', 'PostgreSql', 'Oracle']",,"['MariaDB', 'PostgreSql', 'Oracle']",,,['JavaScript'],['NoSQL'],Viettel Group,Ha Noi,2025-11-22
Backend Developer,Backend Developer,junior,Up to $1300,At office,['Software Products and Web Services'],['IT & Software'],"['NodeJS', 'Kubernetes', 'Golang', 'AWS', 'DevOps', 'SQL']",,"['Kubernetes', 'AWS']",,,"['Golang', 'SQL']","['NodeJS', 'DevOps']",ICONDO VIETNAM COMPANY LIMITED,Ho Chi Minh,2025-11-22
Fullstack Developer,Fullstack Developer,lead,Up to $2500,At office,['Insurance'],['Finance'],"['Python', 'NoSQL', 'Java', 'Django', 'English']",['English'],,['Django'],,"['Python', 'Java']",['NoSQL'],VMO Holdings,Ha Noi,2025-11-22
Cloud Engineer,DevOps / Cloud,Unknown,Up to $2500,At office,['IT Hardware and Computing'],['IT & Software'],"['Cloud', 'Container Security']",,,,,,"['Cloud', 'Container Security']",Viettel Group,Ha Noi,2025-11-22
Automation Tester,QA / Tester,intern,Up to $1500,At office,['AI Software & Services'],['AI / Emerging Tech'],"['Automation Test', 'Cloud', 'GitLab', 'Kanban', 'Scrum', 'Agile']",,['GitLab'],,,,"['Automation Test', 'Cloud', 'Kanban', 'Scrum', 'Agile']",Viettel Group,Ha Noi,2025-11-22
Product Owner,Manager / Lead,mid,Unknown,At office,['Banking'],['Finance'],"['Product Owner', 'Figma', 'Prototyping', 'Jira', 'Agile']",,"['Figma', 'Jira']",,,,"['Product Owner', 'Prototyping', 'Agile']",ABBANK,Ha Noi,2025-11-22
Systems Engineer / Administrator,Other,Unknown,Unknown,At office,['Banking'],['Finance'],"['Windows', 'Microservices', 'Unix', 'Linux']",,,,,,"['Windows', 'Microservices', 'Unix', 'Linux']",ABBANK,Ha Noi,2025-11-22
DevOps Engineer,DevOps / Cloud,mid,Up to $2000,At office,['Banking'],['Finance'],"['DevOps', 'Java', 'Agile']",,,,,['Java'],"['DevOps', 'Agile']",ABBANK,Ha Noi,2025-11-22
Database Administrator,Data / AI,junior,Up to $2500,At office,['Banking'],['Finance'],"['Database', 'CI/CD', 'ETL', 'Cloud', 'Oracle', 'SQL']",,['Oracle'],,,['SQL'],"['Database', 'CI/CD', 'ETL', 'Cloud']",ABBANK,Ha Noi,2025-11-22
Backend Developer,Backend Developer,intern,Up to $2500,Remote,"['Software Development Outsourcing', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['Java', 'English', 'API', 'Microservices', 'Spring Boot', 'Python']",['English'],['API'],['Spring Boot'],,"['Java', 'Python']",['Microservices'],Elisoft,Ha Noi,2025-11-22
Manager,Manager / Lead,lead,Unknown,At office,['Software Products and Web Services'],['IT & Software'],"['Team Management', 'Wordpress', 'PHP', 'Spring', 'Agile', 'English']",['English'],['Wordpress'],['Spring'],,['PHP'],"['Team Management', 'Agile']",Nakivo,Ho Chi Minh,2025-11-22
SysOps Engineer,Other,junior,Up to $2000,At office,['Securities & Investment'],['Finance'],"['SQL', 'Database', 'Data-driven', 'PostgreSql', 'Microsoft SQL Server', 'Oracle']",,"['PostgreSql', 'Microsoft SQL Server', 'Oracle']",,,['SQL'],"['Database', 'Data-driven']",VCBS,Ha Noi,2025-11-22
Software/Technical Architect,Manager / Lead,junior,Up to $2500,At office,"['Software Products and Web Services', 'Securities & Investment', 'Emerging Tech R&D']","['Finance', 'IT & Software', 'AI / Emerging Tech']","['Event-Driven Architecture', 'Container Security', 'Database', 'Java', 'Microservices Architecture', 'Microservices']",,,['Microservices Architecture'],,['Java'],"['Event-Driven Architecture', 'Container Security', 'Database', 'Microservices']",VCBS,Ha Noi,2025-11-22
Fullstack Developer,Fullstack Developer,junior,Up to $2000,At office,['Securities & Investment'],['Finance'],"['Java', 'ReactJS', 'C#']",,,['ReactJS'],,"['Java', 'C#']",,VCBS,Ha Noi,2025-11-22
Business Analyst,Manager / Lead,intern,Up to $1650,At office,['Telecommunication'],['Telecom'],"['Business Analysis', 'ERP', 'MySQL', 'SQL', 'English']",['English'],['MySQL'],,,['SQL'],"['Business Analysis', 'ERP']",Softel Solutions,Ha Noi,2025-11-22
Technical Consultant,Other,mid,Unknown,At office,['IT Services and IT Consulting'],['IT & Software'],"['Java', 'DevOps', 'Golang', 'Python']",,,,,"['Java', 'Golang', 'Python']",['DevOps'],ENTIIS VIETNAM,Ho Chi Minh,2025-11-22
Backend Developer,Backend Developer,senior,Unknown,At office,"['E-commerce', 'IT Services and IT Consulting', 'Transportation, Logistics and Warehouse', 'Software Products and Web Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech', 'Logistics', 'Ecommerce & Retail']","['Golang', 'Design Systems', 'CI/CD', 'MySQL', 'TypeScript', 'NodeJS']",,['MySQL'],,,"['Golang', 'TypeScript']","['Design Systems', 'CI/CD', 'NodeJS']",Be Group,Ho Chi Minh,2025-11-22
Network Engineer,Other,all level,Unknown,At office,"['Banking', 'Financial Services']",['Finance'],"['Networking', 'System Admin', 'PCI DSS', 'Juniper', 'Cisco']",,"['Juniper', 'Cisco']",,,,"['Networking', 'System Admin', 'PCI DSS']",MB Bank,Ha Noi,2025-11-22
DevSecOps Engineer,Other,senior,Up to $30,At office,"['E-commerce', 'Retail and Wholesale']",['Ecommerce & Retail'],"['DevSecOps', 'CI/CD', 'Docker', 'AWS', 'DevOps', 'Python']",,"['Docker', 'AWS']",,,['Python'],"['DevSecOps', 'CI/CD', 'DevOps']",Crossian,Ha Noi,2025-11-22
Fullstack Developer,Fullstack Developer,mid,Up to $1600,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['PHP', 'API', 'English', 'Docker', 'Redis', 'Elasticsearch']",['English'],"['API', 'Docker', 'Redis', 'Elasticsearch']",,,['PHP'],,Laudert Vietnam,Ho Chi Minh,2025-11-22
ERP Consultant,ERP / Enterprise Systems,lead,Unknown,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['Project Management', 'Business Analysis', 'English', 'Japanese', 'SAP']","['English', 'Japanese']",['SAP'],,,,"['Project Management', 'Business Analysis']",CÔNG TY TNHH ABEAM CONSULTING (VIỆT NAM),Ho Chi Minh,2025-11-22
Security Engineer,Security / Cybersecurity,senior,Unknown,At office,"['E-commerce', 'Banking', 'Transportation, Logistics and Warehouse', 'Software Products and Web Services', 'Financial Services']","['Finance', 'IT & Software', 'Logistics', 'Ecommerce & Retail']","['Security', 'GCP', 'Python', 'SIEM', 'DevSecOps', 'Cybersecurity']",,['GCP'],,,['Python'],"['Security', 'SIEM', 'DevSecOps', 'Cybersecurity']",Be Group,Ho Chi Minh,2025-11-22
DevOps Engineer,DevOps / Cloud,principal,Unknown,At office,"['Blockchain & Web3 Services', 'Game', 'IT Services and IT Consulting', 'Software Products and Web Services']","['IT & Software', 'AI / Emerging Tech', 'Gaming']","['DevOps', 'CI/CD', 'Terraform', 'Docker', 'AWS', 'Games']",,"['Terraform', 'Docker', 'AWS']",,,,"['DevOps', 'CI/CD', 'Games']",NEXON DEV VINA,Ho Chi Minh,2025-11-22
Data Engineer,Data / AI,lead,Unknown,At office,"['IT Services and IT Consulting', 'Transportation, Logistics and Warehouse', 'Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech', 'Logistics']","['Data Engineer', 'Big Data', 'Data Warehousing', 'Database', 'PostgreSql', 'Python']",,['PostgreSql'],,,['Python'],"['Data Engineer', 'Big Data', 'Data Warehousing', 'Database']",Ahamove,Ho Chi Minh,2025-11-22
Low-Code/No-Code Developer,Other,mid,Up to $1200,Hybrid,['Pharmaceuticals'],['Healthcare'],"['ITIL Foundation', 'English']",['English'],,,,,['ITIL Foundation'],EUROFINS GSC IT VIETNAM COMPANY LIMITED,Ho Chi Minh,2025-11-22
Fullstack Developer,Fullstack Developer,mid,Unknown,At office,"['Software Development Outsourcing', 'Software Products and Web Services']",['IT & Software'],"['.NET', 'MVVM', 'SOAP', 'OOP', 'WPF', 'C#']",,,"['.NET', 'MVVM', 'SOAP', 'WPF']",,['C#'],['OOP'],Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),Ha Noi,2025-11-22
Fullstack Developer,Fullstack Developer,mid,Unknown,At office,['Software Development Outsourcing'],['IT & Software'],"['Java', 'Mobile Apps', 'Japanese', '.NET', 'PHP']",['Japanese'],,['.NET'],,"['Java', 'PHP']",['Mobile Apps'],Allexceed Việt Nam,Ho Chi Minh,2025-11-22
Backend Developer,Backend Developer,fresher,Unknown,At office,['Software Development Outsourcing'],['IT & Software'],"['Java', 'Japanese', '.NET', 'PHP']",['Japanese'],,['.NET'],,"['Java', 'PHP']",,Allexceed Việt Nam,Ho Chi Minh,2025-11-22
Product Designer,Other,senior,Up to $2000,At office,"['Insurance', 'E-commerce', 'Education and Training', 'Healthcare', 'Financial Services']","['Finance', 'Education / NGO', 'Healthcare', 'Ecommerce & Retail']","['Design', 'IT Communication/Translation', 'Product Management', 'Design Systems', 'Product Design']",,,,,,"['Design', 'IT Communication/Translation', 'Product Management', 'Design Systems', 'Product Design']",Simple Tech Investment,Ho Chi Minh,2025-11-21
Business Analyst,Manager / Lead,junior,Unknown,At office,"['Insurance', 'Banking', 'Software Products and Web Services', 'Financial Services']","['Finance', 'IT & Software']","['Data Analysis', 'Power BI', 'Machine Learning', 'AI', 'Business Intelligence', 'Python']",,['Power BI'],,,['Python'],"['Data Analysis', 'Machine Learning', 'AI', 'Business Intelligence']",Trung tâm CNTT Tập đoàn Bảo Việt,Ha Noi,2025-11-21
Data Engineer,Data / AI,lead,Unknown,At office,"['Food and Beverage', 'Consumer Goods', 'Retail and Wholesale']","['Ecommerce & Retail', 'Hospitality / F&B']","['Azure', 'Data Engineer', 'ETL', 'Databricks']",,"['Azure', 'Databricks']",,,,"['Data Engineer', 'ETL']",Viet Thai International,Ho Chi Minh,2025-11-21
Database Engineer,Data / AI,senior,Unknown,Hybrid,['Software Products and Web Services'],['IT & Software'],"['Data Engineer', 'CI/CD', 'AWS Glue', 'Database', 'Microsoft SQL Server', 'PostgreSql']",,"['Microsoft SQL Server', 'PostgreSql']",,,,"['Data Engineer', 'CI/CD', 'AWS Glue', 'Database']",Innova -Software Research and Development,Ho Chi Minh,2025-11-21
Frontend Developer,Frontend Developer,mid,Unknown,At office,"['Real Estate, Property and Construction']",['Real Estate / Construction'],"['ReactJS', 'JavaScript']",,,['ReactJS'],,['JavaScript'],,Annam Software Company,Ho Chi Minh,2025-11-21
Fullstack Developer,Fullstack Developer,principal,Unknown,At office,"['IT Services and IT Consulting', 'Software Products and Web Services']",['IT & Software'],"['NodeJS', 'MongoDB', 'ReactJS', 'NextJS', 'TypeScript', 'SQL']",,['MongoDB'],"['ReactJS', 'NextJS']",,"['TypeScript', 'SQL']",['NodeJS'],ONE Tech Stop Vietnam Company Ltd,Da Nang,2025-11-21
Fullstack Developer,Fullstack Developer,senior,Unknown,At office,['IT Services and IT Consulting'],['IT & Software'],"['Django', 'MongoDB', 'ReactJS', 'PostgreSql', 'JavaScript', 'Python']",,"['MongoDB', 'PostgreSql']","['Django', 'ReactJS']",,"['JavaScript', 'Python']",,ONE Tech Stop Vietnam Company Ltd,Da Nang,2025-11-21
Software/Technical Architect,Manager / Lead,mid,Up to $4000,At office,"['IT Services and IT Consulting', 'Software Products and Web Services']",['IT & Software'],"['Software Architecture', 'ReactJS', 'NestJS', 'Cloud', 'DevOps', 'NodeJS']",,,"['ReactJS', 'NestJS']",,,"['Software Architecture', 'Cloud', 'DevOps', 'NodeJS']",ONE Tech Stop Vietnam Company Ltd,Ho Chi Minh,2025-11-21
UX/UI Designer,UX/UI Designer,junior,Unknown,At office,"['IT Services and IT Consulting', 'Software Products and Web Services']",['IT & Software'],"['UI-UX', 'Design', 'Agile']",,,,,,"['UI-UX', 'Design', 'Agile']",ONE Tech Stop Vietnam Company Ltd,Da Nang,2025-11-21
Frontend Developer,Frontend Developer,intern,Unknown,Hybrid,"['Insurance', 'E-commerce', 'Government', 'IT Services and IT Consulting', 'Software Products and Web Services']","['Finance', 'Government', 'IT & Software', 'Ecommerce & Retail']","['ReactJS', 'JavaScript', 'HTML5']",,,['ReactJS'],,"['JavaScript', 'HTML5']",,mgm technology partners Vietnam,Ho Chi Minh,2025-11-21
Systems Engineer / Administrator,Other,intern,Unknown,At office,"['Banking', 'IT Services and IT Consulting', 'Cyber Security', 'Network and Infrastructure', 'Financial Services']","['Finance', 'IT & Software']","['Linux', 'Hardware Troubleshooting', 'VMware', 'Bash Shell', 'System Admin', 'Python']",,"['VMware', 'Bash Shell']",,,['Python'],"['Linux', 'Hardware Troubleshooting', 'System Admin']",SHINHAN DS,Ho Chi Minh,2025-11-21
Low-Code/No-Code Developer,Other,Unknown,Up to $3000,At office,['IT Services and IT Consulting'],['IT & Software'],"['Japanese', 'Design Systems', 'Project Management', 'Bridge Engineer', 'English']","['Japanese', 'English']",,,,,"['Design Systems', 'Project Management', 'Bridge Engineer']",IVC (ISB Vietnam),Ho Chi Minh,2025-11-21
Scrum Master / Agile Coach,Manager / Lead,mid,Unknown,Hybrid,['Software Products and Web Services'],['IT & Software'],"['Scrum', 'Agile', 'English']",['English'],,,,,"['Scrum', 'Agile']",MTI TECHNOLOGY,Ho Chi Minh,2025-11-21
Embedded Engineer,Embedded / Firmware,junior,Up to $2500,Hybrid,"['Education and Training', 'Environment', 'Transportation, Logistics and Warehouse', 'Financial Services']","['Finance', 'Education / NGO', 'Logistics', 'Environment / Agriculture']","['Embedded', 'English', 'Unit test', 'RTOS', 'C++']",['English'],,['RTOS'],,['C++'],"['Embedded', 'Unit test']",The Rep. Office of STYL Solutions Pte. Ltd. In HCMC,Ho Chi Minh,2025-11-21
Business Analyst,Manager / Lead,mid,Unknown,At office,['Financial Services'],['Finance'],"['Business Analysis', 'Data Science', 'Database', 'API', 'SQL', 'Product Owner']",,['API'],,,['SQL'],"['Business Analysis', 'Data Science', 'Database', 'Product Owner']",VUIAPP by Nano Technologies,Ha Noi,2025-11-21
Scrum Master / Agile Coach,Manager / Lead,lead,Unknown,At office,['IT Services and IT Consulting'],['IT & Software'],"['Scrum', 'Leadership', 'Team Management', 'Agile', 'English']",['English'],,,,,"['Scrum', 'Leadership', 'Team Management', 'Agile']",ONE Tech Stop Vietnam Company Ltd,Da Nang,2025-11-21
Product Manager,Manager / Lead,mid,Unknown,At office,['Software Products and Web Services'],['IT & Software'],"['Product Management', 'Cloud', 'CI/CD', 'C#', 'DevOps', 'Microservices']",,,,,['C#'],"['Product Management', 'Cloud', 'CI/CD', 'DevOps', 'Microservices']",MiTek Viet Nam,Ho Chi Minh,2025-11-21
DevOps Engineer,DevOps / Cloud,senior,Up to $2000,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['DevOps', 'Kubernetes', 'Terraform', 'Docker', 'CI/CD', 'Azure']",,"['Kubernetes', 'Terraform', 'Docker', 'Azure']",,,,"['DevOps', 'CI/CD']",RIKKEISOFT,Ha Noi,2025-11-21
Enterprise Application Developer (CRM),Backend Developer,senior,Unknown,At office,['Manufacturing and Engineering'],['Engineering / Manufacturing'],"['C language', 'Python', 'C#', 'Docker', 'Linux', 'C++']",,['Docker'],,,"['C language', 'Python', 'C#', 'C++']",['Linux'],Samsung Electronics HCMC CE Complex,Ho Chi Minh,2025-11-21
AI / Machine Learning Engineer,Data / AI,mid,Unknown,Hybrid,['Software Products and Web Services'],['IT & Software'],"['AI', 'Java', 'LLM', 'C#', '.NET', 'English']",['English'],,['.NET'],,"['Java', 'C#']","['AI', 'LLM']",Topicus Vietnam,Ho Chi Minh,2025-11-21
Process Quality Assurance (PQA),QA / Tester,lead,Unknown,Hybrid,"['Software Products and Web Services', 'Healthcare']","['IT & Software', 'Healthcare']","['QA QC', 'Leadership', 'SQL', 'API', 'Automation Test', 'Tester']",,['API'],,,['SQL'],"['QA QC', 'Leadership', 'Automation Test', 'Tester']",MEALSUITE,Ho Chi Minh,2025-11-21
Backend Developer,Backend Developer,mid,Unknown,At office,"['E-commerce', 'AI Software & Services']","['AI / Emerging Tech', 'Ecommerce & Retail']","['Django', 'English', 'Flask', 'Python']",['English'],,"['Django', 'Flask']",,['Python'],,FireGroup,Ho Chi Minh,2025-11-21
Fullstack Developer,Fullstack Developer,mid,Unknown,At office,"['Software Development Outsourcing', 'Software Products and Web Services']",['IT & Software'],"['.NET', 'Angular', 'ReactJS', 'C#', 'TypeScript', 'Azure']",,['Azure'],"['.NET', 'Angular', 'ReactJS']",,"['C#', 'TypeScript']",,Orient Software Development Corp.,Ha Noi,2025-11-21
Manual Tester,QA / Tester,lead,Unknown,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['QA QC', 'Playwright', 'API', 'Automation Test', 'Selenium', 'JavaScript']",,"['Playwright', 'API']",,['Selenium'],['JavaScript'],"['QA QC', 'Automation Test']",KMS Technology,Ho Chi Minh,2025-11-21
Software/Technical Architect,Manager / Lead,principal,Unknown,Hybrid,"['Insurance', 'E-commerce', 'Banking', 'IT Services and IT Consulting', 'Software Development Outsourcing']","['Finance', 'IT & Software', 'Ecommerce & Retail']","['.NET', 'DevOps', 'OOP', 'C#', '.Net Core', 'ASP.NET']",,,"['.NET', '.Net Core', 'ASP.NET']",,['C#'],"['DevOps', 'OOP']",KMS Technology,Ho Chi Minh,2025-11-21
Manager,Manager / Lead,mid,Unknown,Hybrid,"['Real Estate, Property and Construction', 'Software Products and Web Services']","['IT & Software', 'Real Estate / Construction']","['Golang', 'Leadership', 'Agile', 'English', 'JavaScript', 'Ruby on Rails']",['English'],,['Ruby on Rails'],,"['Golang', 'JavaScript']","['Leadership', 'Agile']","ANDPAD VietNam Co., Ltd",Ho Chi Minh,2025-11-21
Test Coordinator / QAQC Coordinator,QA / Tester,senior,Unknown,Hybrid,"['Real Estate, Property and Construction', 'Software Products and Web Services']","['IT & Software', 'Real Estate / Construction']","['QA QC', 'Leadership', 'Scrum', 'Japanese', 'Tester', 'Agile']",['Japanese'],,,,,"['QA QC', 'Leadership', 'Scrum', 'Tester', 'Agile']","ANDPAD VietNam Co., Ltd",Ho Chi Minh,2025-11-20
