job_names,job_group,level,salary,work_mode,domain_list,domain_group,skills_list,languages,tools,frameworks,libraries,programming_languages,others,company_names,city,post_date
AI / Machine Learning Engineer,Data / AI,mid,Up to $2000,At office,"['IT Hardware and Computing', 'Manufacturing and Engineering', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech', 'Engineering / Manufacturing']","['C++', 'C#', 'Machine Learning', 'OOP', 'Jira', 'Python']",,['Jira'],,,"['C++', 'C#', 'Python']","['Machine Learning', 'OOP']",Koh Young Technology Inc,Ha Noi,2025-11-25
Backend Developer,Backend Developer,senior,Unknown,At office,"['IT Services and IT Consulting', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['Python', 'AI', 'AWS', 'Kubernetes', 'DevOps', 'Golang']",,"['AWS', 'Kubernetes']",,,"['Python', 'Golang']","['AI', 'DevOps']",OLLI,Ho Chi Minh,2025-11-25
Mobile Application Developer,Backend Developer,senior,Unknown,Hybrid,"['Banking', 'Software Products and Web Services', 'Financial Services']","['Finance', 'IT & Software']","['iOS', 'Firebase', 'Objective C', 'Mobile Apps', 'Swift']",,['Firebase'],,,['Swift'],"['iOS', 'Objective C', 'Mobile Apps']",TymeX,Ho Chi Minh,2025-11-25
"C-level (CTO, CIO, CISO, CDO)",Other,intern,Unknown,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['AI', 'LLM', 'Generative AI', 'Deep Learning', 'Machine Learning', 'Python']",,,,,['Python'],"['AI', 'LLM', 'Generative AI', 'Deep Learning', 'Machine Learning']",NEC Vietnam,Ho Chi Minh,2025-11-25
Project Manager,Manager / Lead,lead,Unknown,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['Bridge Engineer', 'Japanese IT Communication', 'Java', 'C#', 'Japanese', 'Project Management']",['Japanese'],,,,"['Java', 'C#']","['Bridge Engineer', 'Japanese IT Communication', 'Project Management']",NEC Vietnam,Ha Noi,2025-11-25
Manual Tester,QA / Tester,junior,Up to $20,At office,['Education and Training'],['Education / NGO'],"['Tester', 'Mobile Apps', 'QA QC']",,,,,,"['Tester', 'Mobile Apps', 'QA QC']",Công ty cổ phần Tập đoàn Công nghệ Quảng Ích (QIG),Ha Noi,2025-11-25
Mobile Application Developer,Backend Developer,senior,Unknown,At office,"['Banking', 'Software Products and Web Services', 'Financial Services']","['Finance', 'IT & Software']","['Android', 'MVVM', 'Java', 'Mobile Apps', 'Kotlin', 'Agile']",,,['MVVM'],,"['Java', 'Kotlin']","['Android', 'Mobile Apps', 'Agile']",TymeX,Ho Chi Minh,2025-11-25
Product Manager,Manager / Lead,mid,Up to $2000,At office,"['E-commerce', 'Financial Services']","['Finance', 'Ecommerce & Retail']","['Product Management', 'Data Science', 'English', 'Machine Learning', 'AI', 'Product Owner']",['English'],,,,,"['Product Management', 'Data Science', 'Machine Learning', 'AI', 'Product Owner']",Outcubator,Ha Noi,2025-11-25
Fullstack Developer,Fullstack Developer,mid,Unknown,At office,['Software Products and Web Services'],['IT & Software'],"['Fullstack', 'SQL', 'English', 'JavaScript', '.NET', 'C#']",['English'],,['.NET'],,"['SQL', 'JavaScript', 'C#']",['Fullstack'],MiTek Viet Nam,Ho Chi Minh,2025-11-25
Software/Technical Architect,Manager / Lead,senior,Unknown,At office,"['Banking', 'Securities & Investment']",['Finance'],"['.Net Core', 'LINQ', 'Entity Framework Core', 'C#']",,,"['.Net Core', 'Entity Framework Core']",['LINQ'],['C#'],,SSI Securities Corporation,Ha Noi,2025-11-25
